#SIZE	NO. OF SUPERNOVAE
50	0.0251
51	0.026
52	0.0262
53	0.0266
54	0.0268
55	0.0274
56	0.0279
57	0.0284
58	0.0288
59	0.0292
60	0.0294
61	0.0296
62	0.0303
63	0.031
64	0.0315
65	0.032
66	0.0322
67	0.0325
68	0.0332
69	0.0336
70	0.0341
71	0.0344
72	0.0351
73	0.036
74	0.0366
75	0.0372
76	0.0378
77	0.0379
78	0.0389
79	0.0393
80	0.0395
81	0.0396
82	0.0403
83	0.0409
84	0.0413
85	0.0421
86	0.0428
87	0.0434
88	0.0438
89	0.0441
90	0.0442
91	0.0447
92	0.0454
93	0.046
94	0.0466
95	0.047
96	0.0474
97	0.0478
98	0.0486
99	0.0492
100	0.0496
101	0.0504
102	0.051
103	0.0512
104	0.0515
105	0.0518
106	0.0525
107	0.0531
108	0.0536
109	0.0537
110	0.0539
111	0.0541
112	0.0546
113	0.0552
114	0.0557
115	0.056
116	0.0565
117	0.0569
118	0.0578
119	0.0586
120	0.0589
121	0.0591
122	0.0596
123	0.0605
124	0.0609
125	0.0617
126	0.0622
127	0.0624
128	0.0629
129	0.0633
130	0.0639
131	0.0643
132	0.0645
133	0.0649
134	0.0652
135	0.0653
136	0.0655
137	0.0657
138	0.0663
139	0.067
140	0.0675
141	0.0679
142	0.0684
143	0.0688
144	0.0691
145	0.0693
146	0.07
147	0.0707
148	0.0711
149	0.0713
150	0.0719
151	0.0724
152	0.0728
153	0.0731
154	0.0734
155	0.074
156	0.075
157	0.0754
158	0.0761
159	0.0764
160	0.0768
161	0.0775
162	0.078
163	0.0784
164	0.079
165	0.0791
166	0.0793
167	0.0799
168	0.0803
169	0.0807
170	0.081
171	0.0814
172	0.0817
173	0.0823
174	0.0826
175	0.0831
176	0.0837
177	0.0842
178	0.0849
179	0.0853
180	0.0857
181	0.086
182	0.0865
183	0.087
184	0.0874
185	0.088
186	0.0884
187	0.0894
188	0.09
189	0.0904
190	0.0907
191	0.0912
192	0.0918
193	0.0926
194	0.0929
195	0.0933
196	0.0941
197	0.0942
198	0.0945
199	0.0952
200	0.0956
201	0.0957
202	0.0962
203	0.0966
204	0.0971
205	0.0975
206	0.0977
207	0.0979
208	0.0984
209	0.0987
210	0.0993
211	0.0996
212	0.1003
213	0.1013
214	0.1017
215	0.1022
216	0.1031
217	0.1034
218	0.1037
219	0.1039
220	0.1042
221	0.1045
222	0.1051
223	0.1055
224	0.1056
225	0.106
226	0.1063
227	0.1067
228	0.107
229	0.1073
230	0.1078
231	0.1086
232	0.1089
233	0.1092
